id|kanji_symbol|url|freq_counter|jlpt_Counter|school_counter|firstkanji|pngurl|kun|on|meaning|table_data
1|亜|https://kanjicards.org/kanji/1.html|1509|1554|1542|亜|../img/stroke_order/1.png|つ.ぐ|ア|Asia, rank next, come after, -ous|"[{'Word': '東亜', 'Reading': 'とうあ', 'Meaning': 'East Asia, the Orient'}, {'Word': '亜鉛', 'Reading': 'あえん', 'Meaning': 'zinc (Zn)'}, {'Word': '亜細亜', 'Reading': 'あじあ, アジア', 'Meaning': 'Asia (esp. ""the Far East""); Asian, Asiatic'}, {'Word': '亜熱帯', 'Reading': 'あねったい', 'Meaning': 'subtropics'}, {'Word': '亜流', 'Reading': 'ありゅう', 'Meaning': 'bad second, epigone, adherent, follower, imitator'}, {'Word': '白亜', 'Reading': 'はくあ', 'Meaning': 'chalk (mineral); white wall'}, {'Word': '亜種', 'Reading': 'あしゅ', 'Meaning': 'subspecies'}, {'Word': '亜', 'Reading': 'あ', 'Meaning': 'sub-; -ous (indicating a low oxidation state), -ite'}, {'Word': '亜硫酸ガス', 'Reading': 'ありゅうさんガス', 'Meaning': 'sulphurous acid gas, sulfurous acid gas, sulphur dioxide gas, sulfur dioxide gas'}, {'Word': '亜ぐ', 'Reading': 'つぐ', 'Meaning': 'to rank next to, to come after'}]"
3|娃|https://kanjicards.org/kanji/3.html|0|0|2444|娃|../img/stroke_order/3.png|うつく.しい|ア, アイ, ワ|beautiful|[{'Word': '娃鬟', 'Reading': 'あいかん', 'Meaning': 'beautiful woman'}, {'Word': '館娃', 'Reading': 'かんあい', 'Meaning': 'palace (in China built by Wu Dynasty King)'}]
4|阿|https://kanjicards.org/kanji/4.html|1126|1460|1956|阿|../img/stroke_order/4.png|おもね.る, くま|ア, オ|Africa, flatter, fawn upon, corner, nook, recess|"[{'Word': '阿弥陀', 'Reading': 'あみだ', 'Meaning': 'Amitabha'}, {'Word': '阿', 'Reading': 'くま', 'Meaning': 'corner, nook, recess; a shadow, a shade'}, {'Word': '阿る', 'Reading': 'おもねる', 'Meaning': 'to flatter'}, {'Word': '阿ねる', 'Reading': 'おもねる', 'Meaning': 'to flatter'}, {'Word': '阿うん', 'Reading': 'あうん, アウン', 'Meaning': 'Om, Aun, syllable representing the primordial trinity of Vishnu, Shiva and Brahma; inspiration and expiration, respiration, alpha and omega'}, {'Word': '阿吽の呼吸', 'Reading': 'あうんのこきゅう', 'Meaning': 'the harmonizing, mentally and physically, of two parties engaged in an activity'}, {'Word': '阿蘭陀', 'Reading': 'おらんだ, オランダ', 'Meaning': 'Holland, The Netherlands'}, {'Word': '阿多福', 'Reading': 'おたふく', 'Meaning': 'moon-faced woman, homely woman'}, {'Word': '阿鼻叫喚', 'Reading': 'あびきょうかん', 'Meaning': ""agonizing cries, pandemonium, two of Buddhism's hells""}, {'Word': '阿片窟', 'Reading': 'あへんくつ', 'Meaning': 'opium den'}]"
5|哀|https://kanjicards.org/kanji/5.html|1715|1689|1666|哀|../img/stroke_order/5.png|あわ.れ, あわ.れむ, かな.しい|アイ|pathetic, grief, sorrow, pathos, pity, sympathize|[{'Word': '哀悼', 'Reading': 'あいとう', 'Meaning': 'condolence, regret, tribute, sorrow, sympathy, lament'}, {'Word': '悲哀', 'Reading': 'ひあい', 'Meaning': 'sorrow, grief, sadness'}, {'Word': '可哀相', 'Reading': 'かわいそう', 'Meaning': 'poor, pitiable, pathetic'}, {'Word': '哀愁', 'Reading': 'あいしゅう', 'Meaning': 'pathos, sorrow, grief'}, {'Word': '哀れ', 'Reading': 'あわれ', 'Meaning': 'pity, sorrow, grief, misery, compassion, pathos; pitiable, pitiful, pathetic, miserable; alack, alas'}, {'Word': '喜怒哀楽', 'Reading': 'きどあいらく', 'Meaning': 'human emotions (joy, anger, pathos, and humor) (humour)'}, {'Word': '哀歓', 'Reading': 'あいかん', 'Meaning': 'sadness and joy'}, {'Word': '哀感', 'Reading': 'あいかん', 'Meaning': 'pathos'}, {'Word': '哀切', 'Reading': 'あいせつ', 'Meaning': 'pathetic, plaintive'}, {'Word': '哀れっぽい', 'Reading': 'あわれっぽい', 'Meaning': 'plaintive, piteous, doleful'}]
6|愛|https://kanjicards.org/kanji/6.html|640|544|545|愛|../img/stroke_order/6.png|いと.しい, かな.しい, め.でる, お.しむ, まな|アイ|love, affection, favourite|"[{'Word': '愛', 'Reading': 'あい', 'Meaning': 'love, affection'}, {'Word': '愛する', 'Reading': 'あいする', 'Meaning': 'to love'}, {'Word': '愛しい', 'Reading': 'いとしい', 'Meaning': 'lovely, dear, beloved, darling'}, {'Word': '愛情', 'Reading': 'あいじょう', 'Meaning': 'love, affection'}, {'Word': '恋愛', 'Reading': 'れんあい', 'Meaning': 'love, love-making, passion, emotion, affections'}, {'Word': '愛好', 'Reading': 'あいこう', 'Meaning': 'love, adoration'}, {'Word': '愛国', 'Reading': 'あいこく', 'Meaning': ""love of (one's) country, patriotism""}, {'Word': '愛称', 'Reading': 'あいしょう', 'Meaning': 'pet name'}, {'Word': '同性愛', 'Reading': 'どうせいあい', 'Meaning': 'homosexual love'}, {'Word': '愛人', 'Reading': 'あいじん', 'Meaning': 'lover, mistress'}]"
7|挨|https://kanjicards.org/kanji/7.html|2258|0|2375|挨|../img/stroke_order/7.png|ひら.く|アイ|push open|[{'Word': '挨拶', 'Reading': 'あいさつ', 'Meaning': 'greeting, greetings, salutation, salute; speech (congratulatory or appreciative), address; reply, response; revenge, retaliation; a fine thing to say (used as part of a sarcastic response to a rude remark); (orig. meaning) dialoging (with another Zen practitioner to ascertain their level of enlightenment)'}, {'Word': '挨拶まわり', 'Reading': 'あいさつまわり', 'Meaning': 'New Year courtesy calls'}, {'Word': '挨拶回り', 'Reading': 'あいさつまわり', 'Meaning': 'New Year courtesy calls'}, {'Word': '挨拶状', 'Reading': 'あいさつじょう', 'Meaning': 'greeting card'}, {'Word': '挨拶は抜きで', 'Reading': 'あいさつはぬきで', 'Meaning': 'without compliments (greetings)'}, {'Word': '挨拶を交わす', 'Reading': 'あいさつをかわす', 'Meaning': 'to exchange greetings'}, {'Word': 'ご挨拶', 'Reading': 'ごあいさつ', 'Meaning': 'greeting; a fine thing to say (used as part of a sarcastic response to a rude remark)'}, {'Word': '御挨拶', 'Reading': 'ごあいさつ', 'Meaning': 'greeting; a fine thing to say (used as part of a sarcastic response to a rude remark)'}, {'Word': '一挨一拶', 'Reading': 'いちあいいっさつ', 'Meaning': 'dialoging (with another Zen practitioner to ascertain their level of enlightenment) (source of modern word aisatsu)'}]
9|逢|https://kanjicards.org/kanji/9.html|2116|0|2323|逢|../img/stroke_order/9.png|あ.う, むか.える|ホウ|meeting, tryst, date, rendezvous|"[{'Word': '逢う', 'Reading': 'あう', 'Meaning': 'to meet, to encounter; to have an accident, to have a bad experience'}, {'Word': '逢わせる', 'Reading': 'あわせる', 'Meaning': 'to make (someone) to meet, to let (someone) meet; to expose to, to subject to'}, {'Word': '逢瀬', 'Reading': 'おうせ', 'Meaning': ""rendezvous, tryst, (lover's) meeting, (secret) date""}, {'Word': '逢着', 'Reading': 'ほうちゃく', 'Meaning': 'encounter, face'}, {'Word': '巡り逢う', 'Reading': 'めぐりあう', 'Meaning': 'to meet fortuitously (poet), to meet by chance, to happen across'}, {'Word': '逢引', 'Reading': 'あいびき', 'Meaning': ""(lover's) date, assignation, rendezvous""}, {'Word': '逢引き', 'Reading': 'あいびき', 'Meaning': ""(lover's) date, assignation, rendezvous""}, {'Word': '逢い引き', 'Reading': 'あいびき', 'Meaning': ""(lover's) date, assignation, rendezvous""}, {'Word': '出逢う', 'Reading': 'であう', 'Meaning': 'to meet by chance, to come across, to happen to encounter, to hold a rendezvous, to have a date'}, {'Word': '忍び逢い', 'Reading': 'しのびあい', 'Meaning': 'clandestine meeting, rendezvous, tryst'}]"
10|葵|https://kanjicards.org/kanji/10.html|2122|2029|2073|葵|../img/stroke_order/10.png|あおい|キ|hollyhock|[{'Word': '葵', 'Reading': 'あおい', 'Meaning': 'hollyhock'}, {'Word': '葵祭', 'Reading': 'あおいまつり', 'Meaning': 'hollyhock festival'}, {'Word': '菟葵', 'Reading': 'いそぎんちゃく, イソギンチャク', 'Meaning': 'sea anemone'}, {'Word': '向日葵', 'Reading': 'ひまわり', 'Meaning': 'sunflower, Helianthus annuus'}, {'Word': '山葵', 'Reading': 'わさび', 'Meaning': 'wasabi (Japanese horseradish)'}, {'Word': '立葵', 'Reading': 'たちあおい', 'Meaning': 'hollyhock, Alcea rosea, Althaea rosea'}, {'Word': '立ち葵', 'Reading': 'たちあおい', 'Meaning': 'hollyhock, Alcea rosea, Althaea rosea'}, {'Word': '山葵漬け', 'Reading': 'わさびづけ', 'Meaning': 'pickled Japanese horseradish'}, {'Word': '花葵', 'Reading': 'はなあおい', 'Meaning': 'hollyhock'}, {'Word': '天竺葵', 'Reading': 'てんじくあおい', 'Meaning': 'geranium'}]
11|茜|https://kanjicards.org/kanji/11.html|2422|2131|2163|茜|../img/stroke_order/11.png|あかね|セン|madder, red dye, Turkey red|[{'Word': '茜', 'Reading': 'あかね', 'Meaning': 'madder'}, {'Word': '茜差す空', 'Reading': 'あかねさすそら', 'Meaning': 'glowing sky'}, {'Word': '茜さす空', 'Reading': 'あかねさすそら', 'Meaning': 'glowing sky'}, {'Word': '茜色', 'Reading': 'あかねいろ', 'Meaning': 'madder red'}, {'Word': '茜の根', 'Reading': 'あかねのね', 'Meaning': 'madder root'}, {'Word': '秋茜', 'Reading': 'あきあかね, アキアカネ', 'Meaning': 'variety of dragonfly (red coloured)'}]
13|悪|https://kanjicards.org/kanji/13.html|530|213|288|悪|../img/stroke_order/13.png|わる.い, わる-, あ.し, にく.い, -にく.い, ああ, いずくに, いずくんぞ, にく.む|アク, オ|bad, vice, rascal, false, evil, wrong|[{'Word': '悪', 'Reading': 'あく', 'Meaning': 'evil, wickedness'}, {'Word': '悪化', 'Reading': 'あっか', 'Meaning': '(suffer) deterioration, growing worse, aggravation, degeneration, corruption'}, {'Word': '最悪', 'Reading': 'さいあく', 'Meaning': 'the worst'}, {'Word': '悪さ', 'Reading': 'わるさ', 'Meaning': 'badness, mean mischief'}, {'Word': '悪質', 'Reading': 'あくしつ', 'Meaning': 'bad quality, malignancy, vicious, malignant'}, {'Word': '悪魔', 'Reading': 'あくま', 'Meaning': 'devil, demon, fiend, Satan, evil spirit'}, {'Word': '悪循環', 'Reading': 'あくじゅんかん', 'Meaning': 'vicious circle'}, {'Word': '悪夢', 'Reading': 'あくむ', 'Meaning': 'nightmare, bad dream'}, {'Word': '悪口', 'Reading': 'あっこう, わるくち, わるぐち', 'Meaning': 'abuse, insult, slander, evil speaking'}, {'Word': '凶悪', 'Reading': 'きょうあく', 'Meaning': 'atrocious, fiendish, brutal, villainous'}]
