Anime,released,prompt,images
Death Note,No,,False
Fullmetal Alchemist: Brotherhood,No,,False
Sword Art Online,No,,False
Bleach,No,,False
Hunter x Hunter,No,,False
Tokyo Ghoul,No,,False
Neon Genesis Evangelion,No,,False
Fairy Tail,No,,False
One Punch Man,No,,False
Cowboy Bebop,No,,False
Jujutsu Kaisen,No,,False
Re:Zero - Starting Life in Another World,No,,False
Code Geass: Lelouch of the Rebellion,No,,False
The Seven Deadly Sins (Nanatsu no Taizai),No,,False
Black Clover,No,,False
Your Lie in April (Shigatsu wa Kimi no Uso),No,,False
Sword Art Online,No,,False
Clannad,No,,False
Fate/Zero,No,,False
No Game No Life,No,,False
Haikyuu!!,No,,False
Gintama,No,,False
Yu Yu Hakusho,No,,False
Dragon Ball Super,No,,False
Sword Art Online,No,,False
Overlord,No,,False
Sword Art Online: Alicization,No,,False
Akame ga Kill!,No,,False
Mob Psycho 100,No,,False
Parasyte -the maxim-,No,,False
JoJo’s Bizarre Adventure,No,,False
The Promised Neverland,No,,False
Hellsing Ultimate,No,,False
K-On!,No,,False
Kill la Kill,No,,False
Toradora!,No,,False
Attack on Titan: The Final Season,No,,False
Vinland Saga,No,,False
Made in Abyss,No,,False
Spirited Away (Movie),No,,False
Kimi no Na wa (Your Name) (Movie),No,,False
Dorohedoro,No,,False
